exposure,lag,income,controls,estimator,coef_per_within_sd,ci_low,ci_high,p,n_obs,sd_within,spec_id,excludes_zero
feat_gd_any_anaemia_policies,3,constant,context,fe_trend,-0.20689457590396407,-0.3806076594582891,-0.03318149234963901,0.0195777698299756,931,0.34863630036811527,25,True
feat_gd_stock_anaemia,3,constant,none,fe,-0.1970300747079468,-0.747262156694934,0.3532020072790404,0.48278238958550757,994,2.360327350721747,26,False
feat_gd_stock_anaemia,2,current,none,fe,-0.19152896291647128,-0.6889254653781349,0.30586753954519247,0.45042330073884596,1052,2.327027986709625,27,False
feat_gd_stock_anaemia_policies,5,current,none,fe,-0.19034070093737884,-0.7873920841430379,0.4067106822682801,0.5320768088634467,908,1.5647127168847261,28,False
feat_gd_any_fortification,5,current,context,fe,-0.18490651920676904,-0.5372744790825822,0.16746144066904414,0.3037151292474197,851,0.24532785922909753,29,False
feat_gd_logstock_anaemia,2,current,none,fe,-0.1847604003014653,-0.6761992737320994,0.3066784731291688,0.46120491446204814,1052,0.6220557226102832,30,False
feat_gd_logstock_anaemia_policies,2,constant,context,fe,-0.18437353059386138,-0.6306555346322549,0.2619084734445321,0.4180985245424289,975,0.5675125739772408,31,False
feat_gd_logstock_anaemia_policies,2,constant,none,fe_trend,-0.18114058849775358,-0.37621190048032144,0.01393072348481425,0.06875959680989982,1041,0.5576785100415028,32,False
feat_gd_any_fortification,5,constant,context,fe,-0.17880128305390666,-0.5266751904102721,0.16907262430245876,0.3137482515901401,843,0.24649055701859537,33,False
feat_gd_logstock_anaemia_policies,2,current,context,fe_trend,-0.17702874165889568,-0.378019959341956,0.02396247602416467,0.08429451211345719,986,0.5689737190265929,34,False
feat_gd_logstock_anaemia_policies,2,current,none,fe_trend,-0.17435525429853907,-0.36417582044982544,0.015465311852747318,0.07181656189940822,1052,0.5591756640678637,35,False
feat_gd_logstock_anaemia,3,constant,none,fe,-0.1738353290864567,-0.6801296321408604,0.33245897396794705,0.5009788082245662,994,0.625717443460475,36,False
feat_gd_logstock_anaemia_policies,2,constant,context,fe_trend,-0.1735642802815267,-0.3777558996385636,0.030627339075510147,0.09571682800894929,975,0.5675125739772408,37,False
feat_gd_logstock_anaemia_policies,5,constant,none,fe,-0.1647390362874629,-0.7461334961305277,0.41665542355560187,0.5786492103162164,900,0.5421397077847278,38,False
feat_gd_any_fortification,5,current,none,fe,-0.1588781924246604,-0.5535385245560238,0.235782139706703,0.43009936972400886,908,0.24824574560665272,39,False
feat_gd_any_fortification,5,constant,none,fe,-0.15521374498232476,-0.5434077648341699,0.2329802748695203,0.4332377879595075,900,0.2493478409056303,40,False
feat_gd_any_anaemia_policies,5,current,none,fe_trend,-0.15245094968599132,-0.3011316955923714,-0.0037702037796111827,0.04446674246543256,908,0.3520628336591044,41,True
feat_gd_any_anaemia_policies,5,constant,none,fe_trend,-0.15142804537025314,-0.3017756177024192,-0.0010804730380870806,0.048376141044600696,900,0.35145187852025167,42,True
feat_gd_any_fortification,3,current,context,fe,-0.14896944585033275,-0.5034931183241408,0.20555422662347528,0.41018442851130654,941,0.2401029836462382,43,False
feat_gd_logstock_anaemia_policies,3,constant,context,fe,-0.1439249520554289,-0.6117531805297265,0.3239032764188687,0.5465267476035034,931,0.5661120224528162,44,False
feat_gd_logstock_anaemia_policies,3,current,none,fe_trend,-0.14156169770574664,-0.32707052807118514,0.04394713265969182,0.13474552299483547,1004,0.5569616530575361,45,False
feat_gd_logstock_anaemia_policies,3,constant,none,fe_trend,-0.14154579793437705,-0.33336357920471904,0.05027198333596493,0.14809510876298515,994,0.5563901091064031,46,False
